Month,Avg. Conc.Viewers,Avg. Conc.Channels
1/1/2020,1357265,52817
2/1/2020,1408076,53722
3/1/2020,1633670,65928
4/1/2020,2490968,93822
5/1/2020,2357305,100296
6/1/2020,2262788,93953
7/1/2020,2095123,93656
8/1/2020,2178019,96284
9/1/2020,2203460,91917
10/1/2020,2384649,95080
11/1/2020,2486844,103918
12/1/2020,2522643,106891
1/1/2021,2918417,119239
2/1/2021,2943446,122693
3/1/2021,2928369,116926
4/1/2021,3099202,115703
5/1/2021,3100114,110230
6/1/2021,2724583,101753
7/1/2021,2626124,101645
8/1/2021,2654084,100539
9/1/2021,2573103,95371
10/1/2021,2707758,91686
